,Summary,Majorblocks,Assignee,Date,Time
547,[TGV] large masked vslideup.vx returning incorrect result,,Nicolas Brunie,2022-07-29,11:19:00
552,RDU hang assertions: connect io.disableHangCatcher,,John Ingalls,2022-07-29,02:48:00
553,[TGV] vrgather.vi using the wrong data source register index and offset,,Nicolas Brunie,2022-07-28,10:53:00
554,[TGV] LSU TGV assert: ROB hang not retiring next store after vsetvli,,Warren Menezes,2022-07-28,09:49:00
559,Unexpected exception when running checkpoint snippets (0074/297),,John Ingalls,2022-07-27,23:28:00
561,[TGV] vle-vse test: ROB hang not retiring next load after vsetvli,,Warren Menezes,2022-07-27,16:02:00
562,[TGV] LSU sending out wrong data for a vector write instruction,,Yohann Rabefarihy,2022-07-27,13:59:00
563,[TGV] vfredosum hanging,,Nicolas Brunie,2022-07-27,11:43:00
566,[TGV] PrIdx field not sized appropriately for vector load/store ops,,David Kravitz,2022-07-27,07:58:00
577,[FPU] rv64uf-fadd/rv64ud-fadd test failing on modified p650 cfg when hasStandaloneMul/hasShareMultiplier are set to false,,Erdinc Ozturk,2022-07-25,19:18:00
578,[TGV] ROB assertion firing on non-zero s2vAllocPtrRewindCnt while vector clock disabled,,Andrew Hanselman,2022-07-25,16:33:00
590,[TGV] Assertion Failure: SiFive_IssQEntry_assert,,David Kravitz,2022-07-25,06:49:00
591,[TGV] Baler IssQ should not use fifo = true,,David Kravitz,2022-07-25,06:06:00
593,[TGV] Incorrect oldData been used in VectorCompareUnit,,Shaka Kao,2022-07-24,23:40:00
596,[TGV] Assertion Failure: SiFive_LTBEntry_assert - LTB data enable without data from LDPipe,,Yohann Rabefarihy,2022-07-22,10:44:00
599,[TGV] VectorReductionSequencer does not emit the correct uops for vfwredsum ,,Nicolas Brunie,2022-07-22,06:24:00
609,[TGV] vrgatherei16 instruction not updating the dest reg correctly,,Nicolas Brunie,2022-07-21,16:22:00
610,[TGV] vcompress instruction not executing correctly.,,Nicolas Brunie,2022-07-21,15:55:00
614,[TGV] Masked vfredmin cosim mismatch - no active vector elements - NaN mismatch,,Brad Wu,2022-07-21,14:08:00
617,[TGV] Assertion Failure: SiFive_RDU_assert,,Andrew Hanselman,2022-07-21,05:55:00
618,Assertion Failure : MSHR Entry Valid Non-Reusable Hang,,John Ingalls,2022-07-20,23:19:00
619,Assertion Failure: LSTM stage pre-calculated age wrong versus LSTR stage 1,,John Ingalls,2022-07-20,22:11:00
630,[TGV] Assertion failed:SiFive_VexPipe_assert,,Nicolas Brunie,2022-07-20,07:31:00
631,LSU Assertion: MAL-986: branch flush must not be older than ROB flush,,John Ingalls,2022-07-20,05:16:00
632,[TGV] Slider byte slide amount inputs overflows,,Nicolas Brunie,2022-07-19,21:09:00
633,[TGV] Data mismatch on a vslideup operation,,Nicolas Brunie,2022-07-19,15:38:00
634,[TGV] VRDU Assertion failing in sting tests,,Alexandre Solomatnikov,2022-07-19,14:34:00
636,[TGV] LSU: fix tgv_vle-vse.outline,,John Ingalls,2022-07-19,14:02:00
638,LSU: unroll in LSTPipe0 drops PTW in LSTPipe1 causing hang,,John Ingalls,2022-07-19,06:21:00
639,[TGV] RTL fails on a trap after a vmv4r.v while cosim continues (sting),,Nicolas Brunie,2022-07-18,16:53:00
641,[TGV] vfrsqrt7.v should give canonical NaN when -inf as input,,Kira Tsao,2022-07-18,14:29:00
649,Assertion Failure: SiFive_LSTPipe_assert due to xprop,,John Ingalls,2022-07-18,00:24:00
654,[TGV] Redsum insts not following tail_agnostic policy of filling 1s,,Nicolas Brunie,2022-07-14,11:32:00
661,[TGV] RTL raises an illegal instruction exception,,Nicolas Brunie,2022-07-13,17:23:00
662,[TGV] Cosim mismatch on a vector widening add operation,,Nicolas Brunie,2022-07-13,16:33:00
664,[TGV] data mismatch on a floating point multiplication operation,,Nicolas Brunie,2022-07-13,16:03:00
669,[TGV] RDU assertion firing that the allocPTR and freePTR are not the same when ROB is empty,,Andrew Hanselman,2022-07-12,16:03:00
671,[TGV] wrong tag being staged and broadcast from VectorPermuteEngine,,Nicolas Brunie,2022-07-12,15:02:00
679,[TGV] X2Y source & dest tags not matching in P670,,Andrew Hanselman,2022-07-11,16:19:00
683,Assertion Failure: SiFive_LDPipe_assert due to xprop,,Khondakar Mujtaba,2022-07-11,01:39:00
686,[TGV] vrgather.vx with LMUL=8 and vl=1 hanging,,Nicolas Brunie,2022-07-08,16:28:00
687,[TGV] vfrec7.v generates wrong data with `-inf` as input,,Kira Tsao,2022-07-08,14:49:00
688,[TGV] Illegal instruction exception reported at a valid inst,,David Kravitz,2022-07-08,14:18:00
689,"[FPU] uf-fmadd test failing on modified p650 cfg when ""hasShareMultiplier"" is set to false",,Kira Tsao,2022-07-08,14:03:00
697,"[TGV] vmerge.vxm updating the destination, as mask = 0, when mask is 1",,Andrew Hanselman,2022-07-06,14:36:00
702,[TGV] Assertion:: Physical register 24 set as ready twice,,Alexandre Solomatnikov,2022-07-05,23:22:00
703,[TGV] Design and Cosim Mismatch between tail-elements for Vrgather with Tail-agnostic=1,,Nicolas Brunie,2022-07-05,22:44:00
706,Assertion failed : L1DCData ECC Correctable Error,,John Ingalls,2022-07-05,20:46:00
710,[TGV] vcompress.vm should follow the tail agnostic rule,,Nicolas Brunie,2022-07-05,13:06:00
711,[TGV] LTB read started too soon,,Warren Menezes,2022-07-05,06:50:00
712,X-prop through integer divider io.ready if divide replays in EX stage,,Dave Parry,2022-07-04,05:35:00
714,Assertion Failure:  pcmtEntries*_pcHigh are not initialized,,Josh Smith,2022-07-04,03:31:00
728,[TGV] LSU FV: TGV addition on sdrr_lgSize propogated into p550,,Alvin Tung,2022-06-29,12:42:00
749,[TGV] simple reduction register conflict when vs2 group overlaps with vd,,Nicolas Brunie,2022-06-22,16:28:00
773,"[TGV] Make vpopc/vfirst dispatch down Mask Unit pipe, not V2S pipe",,David Kravitz,2022-06-16,07:58:00
774,Assertion Failure: MSHR Entry L2 FSM Hang,,Rick Chen,2022-06-16,05:11:00
777,[TGV] Assertion:: VMSIF.M::  vector compare should always be 2-cycle full latency,,Brad Wu,2022-06-15,10:04:00
780,Mallard IFU does not report parity errors to BEU,,Adam George,2022-06-14,15:35:00
786,brqUpdatePossibleLate can keep IFU clock on even when BRQ is empty,,Saurabh Singh (PVIPs),2022-06-13,06:40:00
787,LSU lw forwarding result from LDF does not match LDWB,,John Ingalls,2022-06-11,08:38:00
790,IJTP's baseRdIdx should be piped to get correct counter,,Adam George,2022-06-10,00:57:00
801,[SiFive_IFU_assert] Assertion failed: jalrRVIEndMask_F3 should be one-hot or zero,,Adam George,2022-06-08,10:26:00
802,IFU clock enable should consider RD3 stage of BDP training pipeline,,Josh Smith,2022-06-07,17:51:00
804,InOrderDispBuf doesn't take into account flushReq gid,,Alexandre Solomatnikov,2022-06-07,10:46:00
806,[TGV] Rob Hang assertion on a sting test,,Alexandre Solomatnikov,2022-06-06,14:59:00
808,Assertion failed: Rd/WrReqQ entry deallocted without dirWakeUp/missQWakeUp/evictQWakeUp,,Rick Chen,2022-06-06,07:18:00
812,[TGV] Vex pipe assertion for 2 results committing in one cycle,,Nicolas Brunie,2022-06-03,14:26:00
815,[TGV] vrgather.vi instruction causes WRDATA mismatch,,Nicolas Brunie,2022-06-03,05:21:00
828, MSHR Entry L2 FSM Hang,,Rick Chen,2022-06-02,00:38:00
839,BDP useful bit updates not generated correctly,,Adam George,2022-05-31,10:15:00
840,LSU assertion: LSTO PTW/HWPF should not be misaligned,,John Ingalls,2022-05-31,07:37:00
841,Assertion Failure: SiFive_IFU_assert Due to X-propagation,,Adam George,2022-05-31,02:42:00
842,IJTP's TaggedTableParams (historyBits of each table) are not applied to idx/tag generation ,,Adam George,2022-05-30,23:02:00
845,Assertion Failure: IFUMissQ hang,,Rick Chen,2022-05-30,07:26:00
846,Assertion Failure: HWPF Hang,,John Ingalls,2022-05-30,07:07:00
863,LSU FV: Misalign Access Exception for MMIO,,John Ingalls,2022-05-24,14:12:00
871,Assertion failed: Vex PRF write should only be enabled for a valid result,,Nicolas Brunie,2022-05-19,08:49:00
883,[TGV] ROB retire Hang assertion ,,Nicolas Brunie,2022-05-13,14:03:00
887,[TGV] Assertion firing in the VEX Pipe,,Nicolas Brunie,2022-05-12,13:11:00
889,[TGV] vfrec7.v producing wrong values,,Kira Tsao,2022-05-12,11:16:00
890,IFU unit does not correctly identify call and return instructions,,Adam George,2022-05-12,09:40:00
893,[TGV] vfrsqrt7.v producing wrong values,,Kira Tsao,2022-05-11,15:48:00
902,Assertion Failure: SiFive_FEU_assert,,Josh Smith,2022-05-10,03:46:00
903,disable hang catcher assertion with instTraceStall,,John Ingalls,2022-05-09,21:26:00
921,[TGV] LSU returning the wrong data to core,,John Ingalls,2022-05-09,11:49:00
922,Conditional moves cause excessive predictor updates reducing performance,,Adam George,2022-05-08,12:24:00
923,Assertion Failure: SiFive_RAS_assert,,Adam George,2022-05-08,10:33:00
931,Chicken CSR: connect disableClockGate to all ClockGates,,John Ingalls,2022-05-06,15:35:00
942,FPMulAddRecFNCombined dedup issue in p650mc,,Kira Tsao,2022-05-04,13:15:00
948,Perf: IFU can drop BDP training event due to clock being gated off,,Adam George,2022-05-03,19:57:00
951,[TGV] vslide1down.vx tail agnostic behavior,,Nicolas Brunie,2022-05-02,15:29:00
953,[TGV] Assertion failed: Physical register 6 set as ready twice,,Josh Smith,2022-05-02,00:25:00
958,LSU: TileLink HintAck when no pl2Present,,John Ingalls,2022-05-01,05:24:00
967,[TGV] implement floating-point flags output in min-max unit (VectorCompareUnit),,Brad Wu,2022-04-27,19:01:00
969,[TGV] wrong masking of LLP exception flags for widening operation after 2nd dest optimization when vl is small,,Nicolas Brunie,2022-04-27,10:45:00
971,"[TGV] sting failure: stall after erroneous sequencing of vmv.x.s zero, v*",,Nicolas Brunie,2022-04-27,09:36:00
972,[TGV] Fill upper register bits with all 1's when tail agnostic policy is enforced.,,Nicolas Brunie,2022-04-27,09:30:00
974,BRQ drives incorrect RAS ptr/age when two branches execute,,Adam George,2022-04-26,10:17:00
978,[TGV] PMOD output validity assertion wrong on flush,,Nicolas Brunie,2022-04-25,09:42:00
983,[TGV] Assertion Failure: SiFive_CSRFile_assert,,Alexandre Solomatnikov,2022-04-22,06:41:00
984,Uncorrelated RAS overflow in specInt snippet 0010/128,,Adam George,2022-04-21,23:50:00
985,Assertion Failure: SiFive_NLP_assert (NLP read has more than one valid matching entry),,Josh Smith,2022-04-20,23:54:00
987,LSU: coreip_u8_maxed_out ASID not enabling bits [15:8],,John Ingalls,2022-04-20,08:24:00
991,[COSIM-ERROR][#] COSIM VS RTL PC MISMATCH,,Saurabh Singh (PVIPs),2022-04-19,00:34:00
996,[TGV] vslidedown.vx rd not renamed properly when vl = 0 (leading to Assertion Physical register %d (5) set as ready twice),,Nicolas Brunie,2022-04-18,06:19:00
